timestamp,label,cpu_adservice_64dd5464b8_jlchp,mem_adservice_64dd5464b8_jlchp,cpu_cartservice_7956c8c845_s8bw5,mem_cartservice_7956c8c845_s8bw5,cpu_checkoutservice_dcf4c5c7b_n6tmr,mem_checkoutservice_dcf4c5c7b_n6tmr,cpu_couponservice_74995cd98d_cpwc2,mem_couponservice_74995cd98d_cpwc2,cpu_currencyservice_8fdf6cf9d_4fqrt,mem_currencyservice_8fdf6cf9d_4fqrt,cpu_emailservice_588bb96b8_2v4fw,mem_emailservice_588bb96b8_2v4fw,mem_frontend_759775d795_m5m79,cpu_frontend_759775d795_qzdkj,mem_frontend_759775d795_qzdkj,cpu_inventoryservice_59c54c8d8_msglb,mem_inventoryservice_59c54c8d8_msglb,cpu_loadgenerator_5c7cbd94ff_mwhrf,mem_loadgenerator_5c7cbd94ff_mwhrf,cpu_paymentservice_66c65775b_zpr5q,mem_paymentservice_66c65775b_zpr5q,cpu_productcatalogservice_c4cfd98fb_c8d5f,mem_productcatalogservice_c4cfd98fb_c8d5f,cpu_recommendationservice_b5b5bfc56_zzdjk,mem_recommendationservice_b5b5bfc56_zzdjk,cpu_redis_cart_6899b65948_sdqbf,mem_redis_cart_6899b65948_sdqbf,cpu_shippingservice_5dcc4d7bd_24vkk,mem_shippingservice_5dcc4d7bd_24vkk,pod_count_running,node_cpu_pct,cpu_frontend_759775d795_m5m79
1781415163,0,0.0008761516587676,112431104.0,0.0021879821642178,61890560.0,0.0006217956064947,32149504.0,0.0018747833935017,28643328.0,0.0029536852691857,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0037178786054026,19992576.0,0.0017412119498633,36868096.0,0.0026142175894824,74371072.0,0.0002377462398209,38715392.0,0.0031920062549599,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006606881853871,23228416.0,14.0,2.2651892264278786,
1781415163,0,0.0008761516587676,112431104.0,0.0021744282659259,61890560.0,0.0006217956064947,32149504.0,0.0018747833935017,28643328.0,0.0029536852691857,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0036627836943576,19992576.0,0.0017412119498633,36868096.0,0.002591704834726,74371072.0,0.0002377462398209,38715392.0,0.0031920062549599,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006550884250987,23228416.0,14.0,2.2651892264278786,
1781415164,0,0.0008761516587676,112431104.0,0.002154725744899,61890560.0,0.0006217956064947,32149504.0,0.0018747833935017,28643328.0,0.0029536852691857,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0036152266442765,19992576.0,0.0017412119498633,36868096.0,0.0025721237163384,74371072.0,0.0002814463603923,38715392.0,0.0027310273516394,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006504375502052,23228416.0,14.0,2.2651892264278786,
1781415164,0,0.0008761516587676,112431104.0,0.0021399600742432,61890560.0,0.0006217956064947,32149504.0,0.00124015,28643328.0,0.0029536852691857,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0035631468776171,19992576.0,0.0017412119498633,36868096.0,0.002550053472732,74371072.0,0.0002814463603923,38715392.0,0.0027084173073335,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006448511544998,23228416.0,14.0,2.2651892264278786,
1781415165,0,0.0008761516587676,112431104.0,0.002120975640543,61890560.0,0.0006217956064947,32149504.0,0.00124015,28643328.0,0.0029536852691857,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0035131228912206,19992576.0,0.0017412119498633,36868096.0,0.0025290895070006,74371072.0,0.0002814463603923,38715392.0,0.0026889992692825,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006396389671192,23228416.0,14.0,2.26518922642785,
1781415165,0,0.0008761516587676,112431104.0,0.0021039659469913,61890560.0,0.0006217956064947,32149504.0,0.00124015,28643328.0,0.0023369762262392,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0034565204079829,19992576.0,0.0017412119498633,36868096.0,0.0025044748242817,74371072.0,0.0002814463603923,38715392.0,0.0026621864167408,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006324087277015,23228416.0,14.0,2.26518922642785,
1781415165,0,0.0008761516587676,112431104.0,0.0020756463780437,61890560.0,0.0006217956064947,32149504.0,0.00124015,28643328.0,0.0023369762262392,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0033551019150146,19992576.0,0.0017412119498633,36868096.0,0.0024644275652064,74371072.0,0.0002814463603923,38715392.0,0.0016447925000001,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006229332383352,23228416.0,14.0,2.2651892264278786,
1781415166,0,0.0007282499575038,112431104.0,0.0020456213516951,61890560.0,0.0006217956064947,32149504.0,0.00124015,28643328.0,0.0023369762262392,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0032691703000266,19992576.0,0.0017412119498633,36868096.0,0.0028530419125515,74371072.0,0.0002814463603923,38715392.0,0.0016447925000001,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006147674781056,23228416.0,14.0,2.2651892264278786,
1781415167,0,0.0007192401979462,112431104.0,0.0019637743419576,61890560.0,0.0006217956064947,32149504.0,0.00124015,28643328.0,0.0023369762262392,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0031835127890736,19992576.0,0.0017412119498633,36868096.0,0.0028148988670635,74371072.0,0.0002814463603923,38715392.0,0.0019611969030907,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006074570511897,23228416.0,14.0,2.2651892264278786,
1781415167,0,0.0007116322810425,112431104.0,0.0019423574310177,61890560.0,0.0006217956064947,32149504.0,0.0014849113297078,28643328.0,0.0023369762262392,57958400.0,0.0017126603722444,45223936.0,12890112.0,0.0031115604798731,19992576.0,0.0017412119498633,36868096.0,0.002781387017655,74371072.0,0.0002814463603923,38715392.0,0.0019403694505131,29589504.0,0.0039598605127226,43667456.0,0.0016999895048382,17235968.0,0.0006004807388495,23228416.0,14.0,2.26518922642785,
