window,timestamp_sec,avg_latency_ms,median_latency_ms,max_latency_ms,min_latency_ms,p90_latency_ms,p99_latency_ms,throughput_req_per_sec,avg_connect_ms,avg_bytes,avg_sent_bytes,avg_threads,all_threads,error_rate,label,phase
0,9.642435225933493,38.3421926910299,17.0,281,5,109.0,246.0,20.066666666666666,0.10631229235880399,11141.933554817275,265.265780730897,10.514950166112957,10.514950166112957,0.0,0,normal
1,22.064882819354533,118.678125,19.0,2907,4,210.30000000000007,2541.6200000000017,42.666666666666664,0.0046875,11228.9921875,271.7796875,19.4171875,19.4171875,0.0,0,normal
2,36.84883887902447,152.86212624584718,22.0,1752,4,538.2999999999998,1570.93,40.13333333333333,0.0,11231.252491694353,274.2857142857143,20.0,20.0,0.0,0,normal
3,52.55731053913341,54.896032831737344,15.0,891,4,108.0,622.8000000000002,48.733333333333334,0.0,11199.239398084816,274.6511627906977,20.0,20.0,0.0,0,normal
4,67.64380636650498,63.88934993084371,27.0,900,4,121.0,686.3599999999983,48.2,0.02074688796680498,11214.268326417705,272.18395573997236,20.0,20.0,0.0,0,normal
5,82.33212409402333,107.3007299270073,40.0,1247,5,207.0,1187.32,45.666666666666664,0.0072992700729927005,11200.010218978103,274.0160583941606,20.0,20.0,0.0,0,normal
6,97.83957971559055,90.41304347826087,30.0,1052,5,185.20000000000005,861.3100000000003,46.0,0.0,11236.463768115942,273.55797101449275,20.0,20.0,0.0,0,normal
7,112.48226833409458,44.27524204702628,14.0,798,4,99.0,554.4199999999989,48.2,0.0,11207.026279391424,273.69432918395574,20.0,20.0,0.0,0,normal
8,127.25526316349323,61.747638326585694,20.0,1010,4,137.0,718.0,49.4,0.03643724696356275,11233.107962213226,273.85695006747636,20.0,20.0,0.0,0,normal
9,142.70726118940985,87.55555555555556,26.0,1069,4,219.80000000000007,769.1600000000001,46.2,0.010101010101010102,11184.445887445887,272.2554112554113,20.0,20.0,0.0,0,normal
10,157.15521363023635,113.13157894736842,54.0,1187,5,212.5,929.549999999999,43.06666666666667,0.0,11228.365325077399,274.297213622291,20.0,20.0,0.0,0,normal
11,172.48240229032518,67.00855920114122,43.0,407,4,170.0,292.0,46.733333333333334,0.0,11205.412268188302,273.7389443651926,19.443651925820255,19.443651925820255,0.0,0,normal
0,187.48240229032518,534.1440426793124,498.0,2321,5,965.8000000000002,1565.6599999999976,112.46666666666667,0.11203319502074689,11176.170717249555,264.15589804386485,92.90812092471843,92.90812092471843,0.0,1,anomaly
1,201.4640489933664,636.9847775175645,578.0,1829,4,1120.0,1574.7900000000002,113.86666666666666,0.0,11233.460772833723,273.26112412177986,100.0,100.0,0.0,1,anomaly
2,216.76507109646576,592.2299887260428,545.0,2414,6,1019.1000000000001,1875.0599999999986,118.26666666666667,0.0,11203.715896279595,273.4041713641488,100.0,100.0,0.0,1,anomaly
3,230.0358624834722,819.9923076923077,430.0,4749,5,2056.8000000000065,4314.510000000001,104.0,0.0,11186.376923076923,274.91410256410256,100.0,100.0,0.0,1,anomaly
4,247.32986962261225,476.8046218487395,448.0,1258,12,819.7,1041.8200000000002,126.93333333333334,0.07457983193277311,11181.607668067227,272.63918067226894,100.0,100.0,0.0,1,anomaly
5,261.9474249216847,469.1778440139096,425.0,1968,5,780.8,1621.5599999999986,134.2,0.0,11215.14257327372,274.1097863884749,100.0,100.0,0.0,1,anomaly
6,276.7408028811599,496.52996070726914,415.0,2209,8,917.0,1586.150000000001,135.73333333333332,0.0,11239.292239685657,274.46365422396855,100.0,100.0,0.0,1,anomaly
7,292.02207474570355,478.2177914110429,423.0,2138,5,811.0,1807.1500000000003,130.4,0.0,11152.115030674846,272.1758691206544,100.0,100.0,0.0,1,anomaly
8,306.95595939740247,954.8512705530643,760.0,3275,9,1984.1999999999998,2996.1899999999987,89.2,0.1375186846038864,11350.90956651719,273.6629297458894,100.0,100.0,0.0,1,anomaly
9,321.17543655741576,625.5750577367205,508.5,2416,6,1266.9,1966.69,115.46666666666667,0.0,11132.666281755197,273.4919168591224,100.0,100.0,0.0,1,anomaly
10,336.80851252275676,400.5395327942498,376.0,1182,6,649.5,968.5,148.4,0.0,11223.194070080863,273.99460916442047,100.0,100.0,0.0,1,anomaly
11,351.58970747856665,640.0052785923754,562.0,1716,95,1116.2000000000003,1493.6400000000003,113.66666666666667,0.0,11223.552492668621,273.916715542522,94.82287390029326,94.82228739002933,0.0,1,anomaly
12,359.3751433313334,73.2,101.0,118,14,116.8,117.88,0.3333333333333333,0.0,17432.2,173.0,4.2,4.2,0.0,1,anomaly
