window,timestamp_sec,avg_latency_ms,median_latency_ms,max_latency_ms,min_latency_ms,p90_latency_ms,p99_latency_ms,throughput_req_per_sec,avg_connect_ms,avg_bytes,avg_sent_bytes,avg_threads,all_threads,error_rate,label,phase
0,6.335442932346199,31.556962025316455,16.0,401,6,52.80000000000001,292.5799999999998,7.9,0.31645569620253167,11130.784810126583,264.27848101265823,3.962025316455696,3.962025316455696,0.0,0,normal
1,14.652059615547977,31.78358208955224,15.0,359,5,79.60000000000002,270.0,13.4,0.0,11259.08208955224,272.82089552238807,5.0,5.0,0.0,0,normal
2,24.94083324165055,23.96212121212121,13.0,246,5,36.60000000000002,223.69999999999993,13.2,0.0,11166.674242424242,274.3333333333333,5.0,5.0,0.0,0,normal
3,35.07342363414118,30.576271186440678,14.0,277,5,72.39999999999995,237.82999999999998,11.8,0.0,11152.966101694916,271.2118644067797,5.0,5.0,0.0,0,normal
4,44.76924256892765,40.286764705882355,13.5,550,5,75.5,538.0,13.6,0.0,11291.801470588236,275.15441176470586,5.0,5.0,0.0,0,normal
5,55.143503791602086,33.17829457364341,14.0,342,5,98.80000000000001,283.7599999999999,12.9,0.0,11173.31007751938,273.8759689922481,5.0,5.0,0.0,0,normal
6,65.03255804934243,19.271317829457363,13.0,128,5,31.0,111.32,12.9,0.06976744186046512,11275.806201550387,273.93798449612405,5.0,5.0,0.0,0,normal
7,74.87850825389226,37.166666666666664,13.0,678,5,41.70000000000023,508.04000000000065,12.0,0.0,11188.05,271.81666666666666,5.0,5.0,0.0,0,normal
8,84.76422646827996,21.921875,14.5,143,5,33.0,126.84000000000003,12.8,0.0,11227.265625,275.6953125,5.0,5.0,0.0,0,normal
9,94.90012491146723,25.5,12.5,272,5,46.300000000000026,261.25000000000006,12.0,0.0,11131.841666666667,271.26666666666665,5.0,5.0,0.0,0,normal
10,104.91707134417125,16.042857142857144,14.0,178,5,21.10000000000001,101.63999999999965,14.0,0.0,11270.371428571429,276.75,5.0,5.0,0.0,0,normal
11,114.59700766090275,24.34108527131783,12.0,384,5,30.400000000000006,317.0799999999999,12.9,0.0,11161.08527131783,270.93798449612405,4.883720930232558,4.883720930232558,0.0,0,normal
0,124.59700766090275,535.7916666666666,476.5,2321,5,1042.8,1896.959999999995,103.2,0.18313953488372092,11206.130813953489,261.31976744186045,88.40697674418605,88.40697674418605,0.0,1,anomaly
1,134.20132977862966,517.6638198757764,503.5,1404,9,829.3,1098.4299999999987,128.8,0.0,11178.937888198758,271.3695652173913,100.0,100.0,0.0,1,anomaly
2,144.02407332520153,715.7051162790698,685.0,1829,4,1232.2,1653.7999999999997,107.5,0.0,11235.118139534883,272.70232558139537,100.0,100.0,0.0,1,anomaly
3,154.45900743559545,530.4783653846154,506.0,1355,7,901.0,1229.12,124.8,0.0,11191.067307692309,273.3205128205128,100.0,100.0,0.0,1,anomaly
4,164.6525641282081,534.5172413793103,444.0,2414,6,970.8000000000002,1975.499999999999,124.7,0.0,11238.052927024859,273.7963111467522,100.0,100.0,0.0,1,anomaly
5,172.65324458156473,1193.3539928486293,555.0,4749,5,3967.2000000000003,4402.04,83.9,0.0,11139.256257449344,275.7532777115614,100.0,100.0,0.0,1,anomaly
6,184.7556733152471,468.55775577557756,431.5,1258,12,808.3000000000006,1041.2300000000007,121.2,0.11716171617161716,11152.799504950495,271.7582508250825,100.0,100.0,0.0,1,anomaly
7,193.95274876894536,502.2127819548872,453.0,1968,5,885.2000000000003,1695.1000000000004,133.0,0.0,11282.315789473685,273.73007518796993,100.0,100.0,0.0,1,anomaly
8,204.23869119696386,448.3316363636364,420.0,1731,7,741.4000000000005,1370.3,137.5,0.0,11158.683636363636,274.5134545454545,100.0,100.0,0.0,1,anomaly
9,214.25726777803828,456.610911701364,387.0,2209,11,750.3999999999996,1614.3999999999996,139.3,0.0,11251.050251256282,273.64178033022256,100.0,100.0,0.0,1,anomaly
10,224.34433125919293,494.07505686125853,437.0,1697,5,905.8000000000002,1414.8399999999992,131.9,0.0,11260.714177407126,273.8695981804397,100.0,100.0,0.0,1,anomaly
11,234.57232442276856,514.51953125,434.0,2138,11,900.4000000000005,1863.670000000001,128.0,0.0,11071.20390625,272.47421875,100.0,100.0,0.0,1,anomaly
12,243.56559798617934,1178.8954326923076,1042.0,3275,134,2228.9,3040.5199999999995,83.2,0.22115384615384615,11327.775240384615,276.765625,100.0,100.0,0.0,1,anomaly
13,254.7250569790221,538.1263972484953,442.0,2018,6,1071.3999999999999,1437.459999999998,116.3,0.0,11245.009458297507,273.83748925193464,100.0,100.0,0.0,1,anomaly
14,263.7296872769955,701.7720930232558,574.0,2416,6,1448.0000000000005,1991.2399999999998,107.5,0.0,11131.758139534884,270.7972093023256,100.0,100.0,0.0,1,anomaly
15,274.3386479970634,389.0717577353522,361.0,1053,6,643.2,893.4599999999998,151.9,0.0,11292.49637919684,272.82883475971033,100.0,100.0,0.0,1,anomaly
16,283.82418970595256,555.6722222222222,507.0,1716,24,974.0,1355.1000000000008,126.0,0.0,11164.469841269842,275.3436507936508,100.0,100.0,0.0,1,anomaly
17,293.8442433496326,600.4019097222222,485.5,1652,95,1100.8000000000002,1497.43,115.2,0.0,11196.573784722223,273.94097222222223,92.33767361111111,92.33680555555556,0.0,1,anomaly
18,299.2508120032244,73.2,101.0,118,14,116.8,117.88,0.5,0.0,17432.2,173.0,4.2,4.2,0.0,1,anomaly
