timestamp_sec,avg_latency_ms,median_latency_ms,max_latency_ms,min_latency_ms,p90_latency_ms,p99_latency_ms,throughput_req_per_sec,avg_connect_ms,avg_bytes,avg_sent_bytes,avg_threads,all_threads,error_rate,label
1.5261999368667605,34.1,15.5,184,11,44.49999999999994,170.05,3.333333333333333,2.3,10821.6,231.6,1.5,1.5,0.0,0
1.9625499963760376,24.2,19.5,94,7,34.500000000000064,90.38999999999996,6.666666666666667,1.15,11153.85,241.1,2.85,2.85,0.0,0
2.764954458583485,25.90909090909091,17.0,184,9,29.0,152.70999999999987,4.4,1.0909090909090908,11249.045454545454,250.77272727272728,2.136363636363636,2.136363636363636,0.0,0
2.882194459438324,38.77777777777778,20.5,193,6,92.0,190.9,7.2,0.6944444444444444,11301.527777777776,257.4166666666667,3.75,3.75,0.0,0
2.882194459438324,38.77777777777778,20.5,193,6,92.0,190.9,7.2,0.6944444444444444,11301.527777777776,257.4166666666667,3.75,3.75,0.0,0
2.882194459438324,38.77777777777778,20.5,193,6,92.0,190.9,7.2,0.6944444444444444,11301.527777777776,257.4166666666667,3.75,3.75,0.0,0
4.4464998960495,20.5,17.5,56,7,35.400000000000006,52.76999999999998,6.666666666666667,0.05,11544.45,257.15,3.2,3.2,0.0,0
4.86988890171051,37.16666666666666,21.0,193,6,72.0,190.9,12.0,0.0833333333333333,11231.138888888889,259.6388888888889,5.638888888888889,5.638888888888889,0.0,0
6.335442932346199,31.55696202531645,16.0,401,6,52.80000000000001,292.5799999999998,7.9,0.3164556962025316,11130.784810126584,264.27848101265823,3.962025316455696,3.962025316455696,0.0,0
6.431342471135806,24.28767123287671,17.0,193,5,43.0,179.80000000000018,14.6,0.1917808219178082,11217.198630136989,260.6917808219178,7.260273972602739,7.260273972602739,0.0,0
6.431342471135806,24.28767123287671,17.0,193,5,43.0,179.80000000000018,14.6,0.1917808219178082,11217.198630136989,260.6917808219178,7.260273972602739,7.260273972602739,0.0,0
