feature,normal_mean,anomaly_mean,normal_std,anomaly_std,effect_size,var_ratio,ks_stat,ks_pval,n_normal,n_anomaly
avg_threads,15.65689433941843,74.42953541620734,6.633776266894281,27.622473013167454,2.925844791363882,4.163913870749126,0.9686800894854586,1.8026151996780723e-200,322,447
all_threads,15.65689433941843,74.42949039528861,6.633776266894281,27.622485393479394,2.925841310269131,4.163915737003194,0.9686800894854586,1.8026151996780723e-200,322,447
throughput_req_per_sec,36.36666666666667,101.72110365398956,15.428037941598348,30.748420669626356,2.68662980850622,1.9930221059879514,0.932017452443481,3.0901718431519807e-178,322,447
median_latency_ms,27.145962732919255,401.7270693512304,20.756136543137522,331.00801136063706,1.5972401090187134,15.947477059264012,0.9674434115636333,1.7040794772706924e-199,322,447
avg_latency_ms,73.3978407722888,461.6168024372191,63.998484280303295,349.5167044608414,1.5451219013374207,5.461327848484868,0.8855656064585157,4.752374677219781e-155,322,447
p90_latency_ms,198.977950310559,850.8581655480986,249.03929005695483,674.4818591459616,1.2822126671644078,2.70833513455531,0.7999777675879223,1.7956603837503375e-120,322,447
max_latency_ms,626.3198757763976,1421.2572706935123,601.5160196562433,849.5612809288103,1.0799863291697296,1.4123668417248818,0.5284227493156586,2.2484059290531907e-48,322,447
p99_latency_ms,522.4448136645963,1236.827024608501,521.1723289294391,801.7166806333074,1.0565367059759294,1.5382947945071175,0.5681631859046508,2.362038473573466e-56,322,447
min_latency_ms,4.888198757763975,20.91946308724832,0.8189812549131257,39.88409103120068,0.5683181603081993,48.69963847393727,0.6052148901579891,1.8075985303401374e-64,322,447
avg_bytes,11210.591428712569,11303.593424022896,116.7203899608029,790.0968144832025,0.16467926499380506,6.7691413192547865,0.08154431892395125,0.15471717032817872,322,447
avg_sent_bytes,272.52750004308285,271.11963842621805,5.697073046144733,13.649249891932156,0.1346146528206519,2.395835507352103,0.09807967540678367,0.05010785943099872,322,447
avg_connect_ms,0.031821853987132,0.028037344898748907,0.1696886450901562,0.08366143559526373,0.028289328329721433,0.4930290742248199,0.07317242625092056,0.2527581263932553,322,447
error_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,322,447
