window,timestamp_sec,avg_latency_ms,median_latency_ms,max_latency_ms,min_latency_ms,p90_latency_ms,p99_latency_ms,throughput_req_per_sec,avg_connect_ms,avg_bytes,avg_sent_bytes,avg_threads,all_threads,error_rate,label,phase
0,2.764954458583485,25.90909090909091,17.0,184,9,29.0,152.70999999999987,4.4,1.0909090909090908,11249.045454545454,250.77272727272728,2.1363636363636362,2.1363636363636362,0.0,0,normal
1,7.713526202921281,33.73684210526316,15.0,401,6,60.399999999999984,323.1599999999997,11.4,0.017543859649122806,11085.140350877193,269.49122807017545,4.666666666666667,4.666666666666667,0.0,0,normal
2,12.567662081202945,34.28378378378378,16.5,359,6,99.50000000000007,294.02999999999963,14.8,0.0,11333.351351351352,269.1081081081081,5.0,5.0,0.0,0,normal
3,17.222816574573518,28.7,14.0,270,5,61.70000000000001,268.82,12.0,0.0,11167.483333333334,277.4,5.0,5.0,0.0,0,normal
4,22.462179016711108,16.37313432835821,14.0,67,5,24.0,65.02000000000001,13.4,0.0,11137.089552238805,280.04477611940297,5.0,5.0,0.0,0,normal
5,27.49575375043429,31.784615384615385,13.0,246,5,56.20000000000002,237.68,13.0,0.0,11197.16923076923,268.44615384615383,5.0,5.0,0.0,0,normal
6,32.50389275806291,44.089285714285715,14.0,277,5,151.0,255.55000000000013,11.2,0.0,11400.785714285714,267.3392857142857,5.0,5.0,0.0,0,normal
7,37.39429023188929,18.370967741935484,13.5,237,6,21.9,117.44000000000011,12.4,0.0,10929.129032258064,274.7096774193548,5.0,5.0,0.0,0,normal
8,42.26029568994549,42.33802816901409,13.0,550,5,55.0,541.5999999999999,14.2,0.0,11186.154929577464,277.6901408450704,5.0,5.0,0.0,0,normal
9,47.50978454443125,38.04615384615385,14.0,253,5,123.60000000000004,243.39999999999998,13.0,0.0,11407.2,272.38461538461536,5.0,5.0,0.0,0,normal
10,52.501596669996935,17.20967741935484,14.0,102,6,29.799999999999997,62.35000000000004,12.4,0.0,11153.467741935483,273.9032258064516,5.0,5.0,0.0,0,normal
11,57.58825366532625,47.95522388059702,14.0,342,5,139.59999999999994,318.9000000000001,13.4,0.0,11191.671641791045,273.85074626865674,5.0,5.0,0.0,0,normal
12,62.61179356726389,23.03174603174603,14.0,128,6,39.60000000000001,118.70000000000005,12.6,0.1111111111111111,11214.888888888889,271.6031746031746,5.0,5.0,0.0,0,normal
13,67.34328778223558,15.681818181818182,13.0,75,5,26.0,58.74999999999986,13.2,0.030303030303030304,11333.954545454546,276.1666666666667,5.0,5.0,0.0,0,normal
14,72.36243541009965,36.193548387096776,12.0,678,5,34.999999999999986,607.24,12.4,0.0,11389.064516129032,270.6290322580645,5.0,5.0,0.0,0,normal
15,77.56810336277402,38.206896551724135,13.0,278,5,98.90000000000018,266.6,11.6,0.0,10973.172413793103,273.08620689655174,5.0,5.0,0.0,0,normal
16,82.43028349662895,19.238805970149254,14.0,143,5,28.19999999999999,110.66000000000017,13.4,0.0,11349.34328358209,268.64179104477614,5.0,5.0,0.0,0,normal
17,87.32773760107698,24.868852459016395,16.0,129,5,33.0,124.19999999999999,12.2,0.0,11093.180327868853,283.44262295081967,5.0,5.0,0.0,0,normal
